"release_group","worldwide","avg_domestic_percent","avg_foreign_percent","rating","vote_count"
"The World's End","46089287.000000000000","56.4000000000000000","43.6000000000000000","6.800","5404.0"
"La vérité si je mens! 3","40928635.000000000000","0.00000000000000000000","100.0000000000000000","5.477","333.0"
"Star Wars: Episode III - Revenge of the Sith","849997605.00000000","44.7000000000000000","55.3000000000000000","7.437","13758.0"
"X-Men: First Class","352616690.00000000","41.5000000000000000","58.5000000000000000","7.301","12749.0"
"My Boyfriend's Meds","6292780.000000000000","47.2000000000000000","52.8000000000000000","7.100","287.0"
"V for Vendetta","132511035.000000000000","53.2000000000000000","46.8000000000000000","7.898","14497.0"
"Because of Winn-Dixie","33589427.000000000000","97.2000000000000000","2.8000000000000000","6.300","227.0"
"Family is Family","49954866.000000000000","0.00000000000000000000","100.0000000000000000","5.785","726.0"
"Doraemon: Nobita's Chronicle of the Moon Exploration","65406606.000000000000","0.00000000000000000000","100.0000000000000000","7.600","57.0"
"Saawariya","18513120.000000000000","4.8000000000000000","95.2000000000000000","5.435","84.0"
"Bedazzled","90383208.000000000000","41.9000000000000000","58.1000000000000000","6.065","1895.0"
"Welcome to Germany","28036021.000000000000","0.00000000000000000000","100.0000000000000000","6.358","232.0"
"Going the Distance","42059111.000000000000","42.3000000000000000","57.7000000000000000","6.100","721.0"
"Ouija: Origin of Evil","81705746.000000000000","43.0000000000000000","57.0000000000000000","6.100","2460.0"
"Devotion","21768133.000000000000","94.2000000000000000","5.8000000000000000","7.119","693.0"
"Bad Santa 2","24079268.000000000000","73.8000000000000000","26.2000000000000000","5.412","792.0"
"Hannah Montana: The Movie","155545279.000000000000","51.2000000000000000","48.8000000000000000","6.599","2005.0"
"The Reaping","62771059.000000000000","40.0000000000000000","60.0000000000000000","5.800","817.0"
"The Haunted Mansion","182290266.000000000000","41.6000000000000000","58.4000000000000000","5.673","2028.0"
"IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD","21112012.000000000000","0.00000000000000000000","100.0000000000000000","8.200","2.0"
"Pirates of the Caribbean: At World's End","960996492.00000000","32.2000000000000000","67.8000000000000000","7.257","14375.0"
"Source Code","147332697.000000000000","37.1000000000000000","62.9000000000000000","7.304","8337.0"
"Superwho?","14770359.000000000000","0.00000000000000000000","100.0000000000000000","6.400","495.0"
"I, Robot","353133898.00000000","41.0000000000000000","59.0000000000000000","6.953","11791.0"
"Mad Love","9306362.000000000000","3.0000000000000000","97.0000000000000000","6.100","64.0"
"The Wild","102338515.000000000000","36.5000000000000000","63.5000000000000000","5.539","1049.0"
"See You Tomorrow","70065569.000000000000","0.00000000000000000000","100.0000000000000000","4.300","16.0"
"A Guilty Conscience","14911562.000000000000","0.00000000000000000000","100.0000000000000000","6.600","47.0"
"Hanna","63782078.000000000000","63.1000000000000000","36.9000000000000000","6.589","3362.0"
"Nutty Professor II: The Klumps","166339890.000000000000","74.1000000000000000","25.9000000000000000","4.993","1306.0"
"La planète des singes, une odyssée de l'espèce","19515102.000000000000","0.00000000000000000000","100.0000000000000000","7.800","5.0"
"Uma Musume: Pretty Derby - Beginning of a New Era","8551637.000000000000","0.00000000000000000000","100.0000000000000000","8.700","3.0"
"Mr. Bean's Holiday","232225908.00000000","14.3000000000000000","85.7000000000000000","6.353","2847.0"
"The Rundown","80657921.000000000000","59.2000000000000000","40.8000000000000000","6.452","1978.0"
"My People, My Homeland","422390820.00000000","0.00000000000000000000","100.0000000000000000","6.400","29.0"
"Face Off 6: The Ticket of Destiny","11538081.000000000000","0.00000000000000000000","100.0000000000000000","6.167","6.0"
"Confidential Assignment","55972241.000000000000","0.80000000000000000000","99.2000000000000000","6.900","122.0"
"Everything, Everything","61721140.000000000000","55.3000000000000000","44.7000000000000000","7.246","3680.0"
"Sound of Freedom","250570396.00000000","73.5000000000000000","26.5000000000000000","7.991","2431.0"
"The Angry Birds Movie","352333929.00000000","30.5000000000000000","69.5000000000000000","6.234","3664.0"
"Captain America: The Winter Soldier","714421503.00000000","36.4000000000000000","63.6000000000000000","7.659","18786.0"
"Some Like It Hot","95721752.000000000000","0.10000000000000000000","99.9000000000000000","8.094","3476.0"
"The Worst Person in the World","12687507.000000000000","23.9000000000000000","76.1000000000000000","7.500","1380.0"
"The Protégé","8737253.000000000000","85.2000000000000000","14.8000000000000000","6.571","988.0"
"Monster Hunt","387053506.00000000","0.00000000000000000000","100.0000000000000000","6.435","332.0"
